Label,Parent,Value
Tax cuts and credits,,855
Child Tax Credit expansions,Tax cuts and credits,450
Extend ACA tax credit,Tax cuts and credits,200
EITC permanent,Tax cuts and credits,125
CDCTC permanent,Tax cuts and credits,80
Children and Families,,492
Childcare,Children and Families,225
Paid leave,Children and Families,225
Expand EBT,Children and Families,25
Free meals,Children and Families,17
Education,,506
Free universal Pre-K,Education,200
2 years free community college,Education,109
Pell grants,Education,80
College completion,Education,62
HBCU investment,Education,39
Other,Education,16
Nutrition,,45
